id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Power Supplies	Home:Electrical:Power Supplies	N-8dr	http://www.grainger.com/Grainger/power-supplies/electrical/ecatalog/N-8dr?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Programmable Logic Controllers (PLC)	Home:Electrical:Programmable Logic Controllers (PLC)	N-gs7	http://www.grainger.com/Grainger/programmable-logic-controllers-plc/electrical/ecatalog/N-gs7?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Push Buttons	Home:Electrical:Push Buttons	N-8du	http://www.grainger.com/Grainger/push-buttons/electrical/ecatalog/N-8du?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Raceways	Home:Electrical:Raceways	N-8ea	http://www.grainger.com/Grainger/raceways/electrical/ecatalog/N-8ea?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Relays	Home:Electrical:Relays	N-8ei	http://www.grainger.com/Grainger/relays/electrical/ecatalog/N-8ei?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Safety Switches	Home:Electrical:Safety Switches	N-8ev	http://www.grainger.com/Grainger/safety-switches/electrical/ecatalog/N-8ev?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Solar Panels and Accessories	Home:Electrical:Solar Panels and Accessories	N-jlp	http://www.grainger.com/Grainger/solar-panels-and-accessories/electrical/ecatalog/N-jlp?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Solenoids	Home:Electrical:Solenoids	N-8f1	http://www.grainger.com/Grainger/solenoids/electrical/ecatalog/N-8f1?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Starters and Contactors	Home:Electrical:Starters and Contactors	N-8f4	http://www.grainger.com/Grainger/starters-and-contactors/electrical/ecatalog/N-8f4?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Strain Relief	Home:Electrical:Strain Relief	N-8fl	http://www.grainger.com/Grainger/strain-relief/electrical/ecatalog/N-8fl?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Switches	Home:Electrical:Switches	N-8fs	http://www.grainger.com/Grainger/switches/electrical/ecatalog/N-8fs?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Temperature Controls	Home:Electrical:Temperature Controls	N-8h0	http://www.grainger.com/Grainger/temperature-controls/electrical/ecatalog/N-8h0?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Terminal Blocks	Home:Electrical:Terminal Blocks	N-8h5	http://www.grainger.com/Grainger/terminal-blocks/electrical/ecatalog/N-8h5?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Timers	Home:Electrical:Timers	N-8ha	http://www.grainger.com/Grainger/timers/electrical/ecatalog/N-8ha?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Transformers	Home:Electrical:Transformers	N-8hj	http://www.grainger.com/Grainger/transformers/electrical/ecatalog/N-8hj?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Voltage Regulation	Home:Electrical:Voltage Regulation	N-8ho	http://www.grainger.com/Grainger/voltage-regulation/electrical/ecatalog/N-8ho?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Wire Connectors	Home:Electrical:Wire Connectors	N-8hv	http://www.grainger.com/Grainger/wire-connectors/electrical/ecatalog/N-8hv?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Wire Management	Home:Electrical:Wire Management	N-8i8	http://www.grainger.com/Grainger/wire-management/electrical/ecatalog/N-8i8?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Wire and Cable	Home:Electrical:Wire and Cable	N-8iq	http://www.grainger.com/Grainger/wire-and-cable/electrical/ecatalog/N-8iq?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
